"%s (Default Template from Locale)","%s (Standaard sjabloon van localisatie)"
"%s cache type(s) disabled.","%s cache type(n) gedeactiveerd"
"%s cache type(s) enabled.","%s cache type(n) geactiveerd"
"%s cache type(s) refreshed.","%s cache type(n) vernieuwd"
"Invalid parent block for this block.","Ongeldig 'moederblok' voor dit 'blok'"
"Invalid parrent block for this block","Ongeldige ouder-blok voor dit blok"
"Invalid section value","Ongeldige sectie-waarde"
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Ongeldige verzender-naam ""%s"". Gebruik alleen zichtbare karakters en spaties."
"Invalid store value","Ongeldige winkelwaarde"
"Invalid website value","Ongeldige websitewaarde"
"Invalidated","Ongeldig"
"Inventory Stock Status","Voorraad-status"
"Invoice #%s comment added","Notitie toegevoegd aan factuur #%s"
"Invoice #%s created","Factuur %s aangemaakt"
"Invoice History","Factuur-geschiedenis"
"Invoice Totals","Factuur-totalen"
"Invoice and shipment was successfully created.","Factuur en verzending met succes aangemaakt"
"Invoice cancel error.","Fout bij het annuleren van de factuur"
"Invoice canceling error.","Fout bij het annuleren van de factuur."
"Invoice capture error","Fout bij het innen van de factuur"
"Invoice capturing error.","Fout bij het verzamelen van de factuur."
"Invoice void error","Factuur kon niet nietig verklaard worden"
"Invoice voiding error.","Factuur kon niet nietig verklaard worden."
"Invoice was successfully canceled.","Factuur is met succes geannuleerd"
"Invoice was successfully captured","Factuur is met succes ge�nd."
"Invoice was successfully created.","Factuur is met succes aangemaakt."
"Invoice was successfully voided","Factuur is nietig verklaard."
"Invoices","Facturen"
"Is Closed","Is gesloten"
"Issue Number","Uitgave-nummer"
"Issuer: %s","Uw bank: %s"
"Items","Artikelen"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Kb","Kb"
"Last 24 Hours","Laatste 24 uur"
"Last 5 Orders","Laatste 5 bestellingen"
"Last 5 Search Terms","Laatste 5 zoektermen"
"Last 7 Days","Laatste 7 dagen"
"Last Credit Memo Created Date","Laatste creditfactuur aangemaakt op"
"Last Invoice Created Date","Laatste factuur aangemaakt op"
"Last Logged In (%s):","Laatst ingelogd (%s):"
"Last Logged In:","Laatst ingelogd"
"Last Month","Laatste maand"
"Last Name","Achternaam"
"Last Name is required field.","Achternaam is een verplicht veld."
"Last Name:","Laatste naam:"
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>","click <a href=""%s"">here</a>."
"Lastname","Achternaam"
"Latest Message:","Laatste bericht:"
"Layered Navigation Indices","Indexen van gelaagde navigatie"
"Layered Navigation Indices was refreshed successfully","Gelaagde navigatie met succes geherindexeerd"
"Layered Navigation Indices were refreshed successfully","Gelaagde navigatie met succes geherindexeerd"
"Layered Navigation Indices were refreshed.","Indices voor Gelaagde Navigatie werden vernieuwd."
"Layered Navigation indexing queue cancelled","Wachtrij voor indexeren van gelaagde navigatie geannuleerd"
"Layered Navigation indexing queued","Indexeren van gelaagde navigatie in wachtrij gezet"
"Layered Navigation process queued to be killed","Proces gelaagde navigatie in wachtrij om gestopt te worden"
"Leave empty to use tax identifier","Leeg laten om BTW-identifier te gebruiken"
"Level","Niveau"
"License","Licentie"
"License URI","Licentie URI"
"License:","Licentie:"
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"Lifetime statistics have been updated.","Levensduurstatistieken werden geupdate."
"Links","Links"
"Links with associated products will retain only after saving current product.","Links met aanverwante producten worden alleen behouden na het opslaan van het huidige product."
"List (default) / Grid","Lijst (standaard) / tabel"
"List Only","Alleen lijst"
"Load Template","Sjabloon laden"
"Load default template","Standaard-sjabloon laden"
"Load local Package","Lokaal pakket laden"
"Loading...","Bezig met laden..."
"Local Server","Lokale server"
"Local/Remote Server","Lokale/externe server"
"Locale","Lokalisatie"
"Log Out","Log uit"
"Log in to Admin Panel","Log in op het Admin Panel"
"Log into Magento Admin Page","Log in op het Admin Panel"
"Logged in as %s","Ingelogd als %s"
"Login","Inloggen"
"Low Stock","Lage voorraad"
"MAJOR","BELANGRIJK"
"MINOR","ONBELANGRIJK"
"MS Excel XML","MS Excel XML"
"Magento Admin","Magento Site-beheer"
"Magento Commerce - Administrative Panel","Magento Commerce – Site-beheer"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento ConnectManager"
"Magento Core Api","Magento Core API"
"Magento Logo","Magento Logo"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento is een handelsmerk van Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento is een geregistreerd handelsmerk van Magento Inc. Copyright © %s Magento Inc."
"Magento ver. %s","Magento versie %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; is een handelsmerk van Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; is een geregistreerd merk van Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Maintainers","Beheerders"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Zorg dat de gegevensversleuteling in het bestand consistent is en opgeslagen is in één van de de ondersteunde versleutelcriteria (UTF-8 of ANSI)."
"Manage Attribute Sets","Beheer attribuutsets"
"Manage Attributes","Beheer attributen"
"Manage Categories","Beheer categorieën"
"Manage Content","Beheer content"
"Manage Currency Rates","Beheer wisselkoersen"
"Manage Customers","Beheer klanten"
"Manage Installed Extensions","Beheer geïnstalleerde extensies"
"Manage Ratings","Beheer ratings"
"Manage Stores","Beheer winkels"
"Manage Tax Rules","Beheer BTW-regels"
"Manage Tax Zones and Rates","Beheer BTW-zones en percentages"
"Manage osCommerce Orders","Beheer osCommerce-orders"
"Manage osCommerce Profiles","Beheer osCommerce-profielen"
"Manual","Handmatig"
"Matched Expression","Overeenkomende uitdrukking"
"Max","Max"
"Maximum","Minimum"
"Mb","Mb"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"Messages Inbox","Berichten Inbox"
"Min","Min"
"Mindstretch Export Logistics","Mindstretch Export Logistiek"
"Minimum","Minimaal"
"Minimum Advertised Price","Minimum verkoopprijs"
"Moneybookers","Moneybookers"
"Month","Maand"
"Most Viewed","Meest bekeken"
"Most Viewed Products","Meest bekeken producten"
"Multiple Select","Meervoudige selectie"
"My Account","Mijn account"
"N/A","N/B"
"NOTICE","NORMAAL"
"Name","Naam"
"Name on Card","Naam op kaart"
"Name on the Card: %s","Naam op de kaart: %s"
"Name:","Naam:"
"New","Nieuw"
"New API Key","Nieuwe Api key"
"New Accounts","Nieuwe accounts:"
"New Attribute","Nieuw Attribuut"
"New Block","Nieuw Block"
"New Category","Nieuwe Categorie"
"New Class","Nieuwe class"
"New Condition","Nieuwe voorwaarde"
"New Custom Variable","Nieuwe maatwerk variabele"
"New Customer","Nieuwe klant"
"New Customers","Nieuwe klanten"
"New Design Change","Nieuwe design verandering"
"New Email Template","Nieuwe e-mail-sjabloon"
"New Extension","Nieuwe extensie"
"New Group","Nieuwe groep"
"New Invoice","Nieuwe factuur"
"New Item Type","Nieuw artikeltype"
"New Memo","Nieuwe memo"
"New Memo for #%s","Nieuwe memo voor #%s"
"New Page","Nieuwe Pagina"
"New Password","Nieuw wachtwoord"
"New Poll","Nieuwe Poll"
"New Profile","Nieuw profiel"
"New Rate","Nieuwe Beoordeling"
"New Rating","Nieuwe Beoordeling"
"New Review","Nieuwe Review"
"New Role","Nieuwe Rol"
"New Rule","Nieuwe regel"
"New Search","Nieuwe zoekopdracht"
"New Set","Nieuwe set"
"New Shipment","Nieuwe zending"
"New Sitemap","Nieuwe sitemap"
"New Store View","Nieuw winkelzicht"
"New System Template","Nieuw systeem-sjabloon"
"New Tag","Nieuwe tag"
"New Template","Nieuw sjabloon"
"New User","Nieuwe gebruiker"
"New Variable","Nieuwe variabele"
"New Website","Nieuwe website"
"New admin password","Nieuw admin-wachtwoord"
"Newsletter","Nieuwsbrief"
"Newsletter Problems","Nieuwsbrief problemen"
"Newsletter Queue","Nieuwsbrief wachtrij"
"Newsletter Subscribers","Nieuwsbrief abonnees"
"Newsletter Templates","Nieuwsbrief sjablonen"
"Next month (hold for menu)","Volgende maand (vasthouden voor menu0"
"Next page","Volgende pagina"
"Next year (hold for menu)","Volgende jaar (vasthouden voor menu)"
"No","Nee"
"No (price without tax)","Nee (prijs excl. BTW)"
"No Data Found","Geen gegevens gevonden"
"No Extensions Found","Geen extensies gevonden"
"No Templates Found","Geen sjablonen gevonden"
"No change","Geen wijziging"
"No information available.","Geen informatie beschikbaar"
"No profile","Geen profiel"
"No profile loaded...","Geen profiel geladen..."
"No records found for this period.","Geen records gevonden voor deze periode."
"No records found.","Geen records gevonden."
"No report code specified.","Geen rapportcode gespecificeerd."
"No search keywords.","Geen zoektermen."
"No search modules registered","Geen zoek-modules geregistreerd"
"No search modules were registered","Er zijn geen zoekmodules geregistreerd."
"None","Geen"
"Note:","Notitie:"
"Notes","Notities"
"Notes:","Notities:"
"Notifications","Notificaties"
"Number of Orders","Aantal bestellingen"
"Number of Use","Aantal keer gebruikt"
"Number of Uses","Aantal keer gebruikt"
"Number of records:","Aantal records:"
"Old rate:","Oude koers:"
"One of options row has error","Een van de optie rijen heeft een fout"
"One or more of the Cache Types are invalidated:","Eén of meer cache soorten zijn ongeldig:"
"Online Customers","Online klanten"
"Only attributes with scope ""Global"",input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Enkel attributen met de scope ""Globaal"",input type ""Dropdown"" and Gebruik voor configureerbaar product ""Ja"" zijn beschikbaar."
"Only mapped fields","Alleen aangegeven velden"
"Optional","Optioneel"
"Options","Opties"
"Order #%s","Bestelling %s"
"Order #%s (%s)","Bestelling %s (%s)"
"Order Created Date","Besteldatum"
"Order ID","Bestelling-ID"
"Order Totals","Bestelling totalen"
"Order Updated Date","Bestelling bijgewerkt op"
"Order Updated Date report is real-time, does not need statistics refreshing.","Rapport voor datum van orderupdate is real-time. Statistieken hoeven niet vernieuwd te worden."
"Order cannot be placed.","Bestelling kan niet geplaatst worden"
"Order confirmation email not sent","E-mail met orderbevestiging is niet verzonden"
"Order confirmation email sent","Bestelbevestiging is gemaild"
"Order not longer exist","Bestelling bestaat niet langer"
"Order not longer exist.","Bestelling bestaat niet langer."
"Orders","Bestellingen"
"Original Magento attribute names in first row:","Originele Magento attribuut-namen in eerste rij:"
"PDT (Payment Data Transfer) Only","Uitsluitend PDT (Payment Data Transfer)"
"PEAR Configuration was successfully saved","PEAR configuratie is met succes opgeslagen"
"PEAR Console","PEAR Console"
"PEAR config","PEAR configuratie"
"PHP Version","PHP Versie"
"Package","Pakket"
"Package %s data was successfully loaded","Gegevens van pakket %s zijn met succes geladen"
"Package Extensions","Pakket-extensies"
"Package File Name","Bestandsnaam pakket"
"Package Info","Pakket-info"
"Package Information","Pakket-informatie"
"Packages","Pakketten"
"Page","Pagina"
"Pages","Pagina's"
"Parent Product Thumbnail","Miniatuur van het hoofdproduct"
"Parent Transaction ID","Bovenliggende transactie-ID."
"Passive mode","Passieve mode"
"Password","Wachtwoord"
"Password Confirmation","Bevestig wachtwoord"
"Password confirmation must be same as password.","Wachtwoorden moeten identiek zijn."
"Password must be at least of %d characters.","Wachtwoorden moeten tenminste %d tekens bevatten."
"Password must include both numeric and alphabetic characters.","Wachtwoorden moet zowel numeriek als alfanumerieke tekens bevatten."
"Password:","Wachtwoord:"
"Path","Pad:"
"Path:","Pad:"
"PayPal Email","PayPal e-mail"
"Payment Data Transfer (PDT)","Payment Data Transfer (PDT)"
"Payment method instance is not available.","Betaalmethode is niet beschikbaar."
"Payment method is not available.","Betaalmethode is niet beschikbaar."
"Payment method must be specified","U hebt geen betaalmethode opgegeven"
"Payment method must be specified.","Betaalmethode is niet opgegeven."
"Pending Reviews","Wachtende beoordelingen"
"Pending Tags","Hangende tags"
"Pending installation...","Installatie in wachtrij..."
"Per Item","Per artikel"
"Per Order","Per bestelling"
"Percent","Percentage"
"Performed At","Uitgevoerd op"
"Period","Periode"
"Permanent (301)","Permanent (301)"
"Permissions","Rechten"
"Persistent Shopping Cart","Winkelmand volgen"
"Personal Information","Persoonlijke gegevens"
"Phone:","Telefoonnummer:"
"Please Select","Maak een keuze"
"Please confirm site switching. All data that hasn't been saved will be lost.","Weet u zeker dat u wilt wisselen van site? Alle data die nog niet bewaard is zal verloren gaan!"
"Please continue with placing order.","Ga verder met het plaatsen van de order"
"Please enter 6 or more characters.","Geef meer dan 6 tekens op a.u.b."
"Please enter a number greater than 0 in this field.","Geef a.u.b. een getal groter dan 0 op in dit veld"
"Please enter a valid $ amount. For example $100.00.","Voer een geldig &euro; bedrag op. Bijvoorbeeld: &euro; 100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Geef een geldige URL op. Bijvoorbeeld http://www.example.com of www.example.com."
"Please enter a valid URL. http:// is required","Geef een geldige URL op. http:// is noodzakelijk"
"Please enter a valid credit card number.","Geef een geldig creditcardnummer op a.u.b."
"Please enter a valid date.","Geef een geldige datum op a.u.b."
"Please enter a valid email address. For example johndoe@domain.com.","Geef een geldig e-mailadres op a.u.b. Bijvoorbeeld: iemand@domein.nl."
"Please enter a valid email.","Vul een geldig e-mailadres in"
"Please enter a valid number in this field.","Geef een geldig getal op in dit veld."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Geef een geldig telefoonnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","Geef een geldig burger-service-nummer op a.u.b. Bijvoorbeeld 123-45-6789."
"Please enter a valid value from list","Geef een geldige waarde op uit de lijst"
"Please enter a valid value, ex: 10,20,30","Geef een geldige waarde op, bijv.: 10,20,30"
"Please enter a valid zip code.","Geef een geldige postcode op."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in a.u.b. Bijvoorbeeld: 2900 of 6621BK"
"Please enter valid password.","Voer een geldig wachtwoord in a.u.b."
"Please fill in 'email' field.","Vul het ‘e-mail’ veld in a.u.b.."
"Please make sure that all global admin search modules are installed and activated.","Zorg er voor a.u.b dat alle globale admin-zoekmodules zijn geïnstalleerd en geactiveerd a.u.b."
"Please make sure that your changes were saved before running the profile.","Zorg er voor dat alle wijzigingen zijn opgeslagen voordat u het profiel uitvoert"
"Please make sure your passwords match.","Zorg er voor dat de wachtwoorden overeenkomen"
"Please select State/Province.","Selecteer een provincie a.u.b"
"Please select a custmer","Selecteer een klant a.u.b."
"Please select a customer.","Selecteer een klant"
"Please select a store","Selecteer een winkel a.u.b."
"Please select a store.","Selecteer een webwinkel."
"Please select an option.","Selecteer een optie a.u.b."
"Please select catalog searches","Selecteer een catalogus zoekacties"
"Please select catalog searches.","Selecteer een catalogus zoekopdracht."
"Please select customer(s)","Selecteer &eacute;&eacuten of meerdere klanten a.u.b."
"Please select customer(s).","Selecteer klant(en)."
"Please select one of the above options.","Selecteer &eacute;&eacute;;n van de hierboven genoemde opties a.u.b.."
"Please select one of the options.","Selecteer &eacute;&eacute;n van de opties a.u.b.."
"Please select review(s)","Selecteer review(s) a.u.b."
"Please select review(s).","Selecteer beoordeling(en)"
"Please select tag(s)","Selecteer &eacute;&eacute;n of meerdere etiketten a.u.b."
"Please select tag(s).","Selecteer tag(s)"
"Please specify admin custom URL","Geef een eigen admin-URL op"
"Please specify at least start or end date.","Geef a.u.b. tenminste een start- of einddatum op."
"Please specify the admin custom URL.","Geef een eigen admin-URL op"
"Please try to logout and sign in again.","Probeer uit te loggen en weer aan te melden."
"Please use in this field only a-z","0-9"
"Please use letters only (a-z) in this field.","Gebruik uitsluitend letters (a-z) in dit veld."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Gebruik a.u.b. alleen getallen in dit veld, vermijd spaties of andere tekens zoals punten en komma's"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Gebruik alleen letters (a-z) of getallen (0-9) in dit veld. Spaties en andere tekens zijn niet toegestaan"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Gebruik alleen letters (a-z), getallen (0-9), spaties of # in dit veld."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dd/mm/jjjj als datum-formaat. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Please wait while the indexes are being refreshed.","Een moment geduld terwijl de indices vernieuwd worden."
"Please wait, loading...","Wacht a.u.b. Bezig met laden..."
"Please wait...","Wacht a.u.b..."
"Please, add a few answers to this poll first","Voeg eerst een paar  antwoorden voor deze poll toe a.u.b."
"Please, add some answers to this poll first.","Voeg eerst een paar antwoorden voor deze poll toe a.u.b."
"Please, select Visible in ""Stores"" for this poll first.","Selecteer eerst zichtbare in ""winkels"" voor deze poll a.u.b."
"Poll Manager","Beheer poll"
"Poll was successfully deleted","De poll was met succes verwijderd"
"Poll was successfully saved","De poll is met succes opgeslagen"
"Polls","Polls"
"Popular","Populair"
"Position of Watermark for %s","Positie van watermerk voor %s"
"Preferred state","Voorkeursstand"
"Pregenerated product images files.","Automatisch gegenereerde productafbeeldingen."
"Preparing to change $pkg, please wait...","Bezig met voorbereiden met veranderen van $pkg, wacht a.u.b..."
"Prev. month (hold for menu)","Maand terug (vasthouden=menu)"
"Prev. year (hold for menu)","Jaar terug (vasthouden=menu)"
"Preview","Voorbeeld"
"Preview Template","Sjabloon vooraf bekijken"
"Previous page","Vorige pagina"
"Price","Prijs"
"Price alert subscription was saved successfully","Prijs-melding abonnement was met succes opgeslagen"
"Price alert subscription was saved.","De inschrijving voor Prijsalert werd opgeslagen."
"Price:","Prijs:"
"Primary Billing Address","Primair factuuradres"
"Processed <strong>%s%% %s/%d</strong> records","<strong>%s%% %s/%d</strong> records verwerkt."
"Product","Product"
"Product Reviews","Productbeoordelingen"
"Product Thumbnail Itself","Miniatuur van het product zelf"
"Product:","Product"
"Products","Producten"
"Products Bestsellers Report","Rapportage bestsellers"
"Products Ordered","Producten besteld"
"Products in Carts","Producten in winkelwagen"
"Profile Action","Profiel actie"
"Profile Actions XML","Profiel acties XML"
"Profile Direction","Profiel richting"
"Profile History","Profiel geschiedenis"
"Profile Information","Profiel informatie"
"Profile Name","Profiel naam"
"Profile Payments","Profiel betalingen"
"Profile Schedule","Profiel planning"
"Profile Wizard","Profiel wizard"
"Profile was deleted","Profiel is verwijderd"
"Profile was successfully saved","Profiel is met succes opgeslagen"
"Profiles","Profielen"
"Promo","Promotie"
"Promotions","Promoties"
"Provided Files","Geleverde bestanden"
"Purchased Item","Aangeschafte producten"
"Qty","Aantal"
"Quantity","Aantal"
"Queue Refresh","Wachtrij vernieuwen"
"Queued... Cancel","In de wachtrij... Annuleren"
"Radio Buttons","Radio buttons"
"Rates","Waardering"
"Rating was successfully deleted","Waardering is met succes verwijderd"
"Rating was successfully saved","Waardering is met succes opgeslagen"
"Read details","Lees details"
"Rebuild","Herindexeren"
"Rebuild Catalog Index","Herbouw catalogus index"
"Rebuild Flat Catalog Category","Herbouw productcatalogus"
"Rebuild Flat Catalog Product","Herbouw productcatalogus"
"Recent Orders","Recente orders"
"Recent statistics have been updated.","Recente statistieken zijn vernieuwd"
"Recommended","Aanbevolen"
"Recurring Profile View","Abonnementen overzicht"
"Recursive Dir","Recursieve dir"
"Redirect","Doorsturen"
"Reference","Referentie"
"Reference ID","Referentie-ID"
"Refresh","Vernieuwen"
"Refresh Now*","Nu herindexeren*"
"Refresh Statistics","Vernieuw statistieken"
"Region/State","Provincie"
"Release","Publiceren"
"Release Info","Publicatie info"
"Release Stability","Publicatie stabiliteit"
"Release Version","Publicatie versie"
"Remote Extension Info","Extensie informatie op afstand"
"Remote FTP","Extern FTP"
"Remote URL:","Externe URL"
"Remove","Verwijderen"
"Reports","Rapporten"
"Request Path","Gevraagd Pad"
"Required","Verplicht"
"Reset","Herstellen"
"Reset Filter","Reset filter"
"Resize","Grootte aanpassen"
"Resource Access","Toegang tot bron"
"Resources","Bronnen"
"Results","Resultaten"
"Retrieve Password","Wachtwoord opvragen"
"Return Html Version","Geef HTML-versie terug"
"Revenue","Inkomsten"
"Reviews","Beoordelen"
"Reviews and Ratings","Beoordelingen en waarderingen"
"Rewrite Rules","Rewrite regels"
"Role","Rol"
"Role ID","Rol-ID"
"Role Info","Rol info"
"Role Information","Rol informatie"
"Role Name","Rol naam"
"Role Resources","Rol bronnen"
"Role Users","Rol gebruikers"
"Role successfully deleted.","Rol met succes verwijderd."
"Role successfully saved.","Rol met succes opgeslagen."
"Roles","Rollen"
"Roles Resources","Rollen bronnen"
"Rotate CCW","CCW draaien"
"Rotate CW","CW draaien"
"Run","Uitvoeren"
"Run Profile","Profiel uitvoeren"
"Run Profile Inside This Window","Profiel uitvoeren in dit venster"
"Run Profile in Popup","Profiel uitvoeren in pop-up venster"
"Run in popup","Uitvoeren in pop-up venster"
"Running... Kill","Running... Stop"
"Running:","Bezig met:"
"SKU","Artikelnummer"
"SKU:","Artikelnummer:"
"SSL Error: Invalid or self-signed certificate","SSL fout: Ongeldige of self-signed certificaat"
"Sales","Verkoop"
"Sales Report","Verkooprapport"
"Samples","Demo's"
"Save","Opslaan"
"Save & Generate","Opslaan & genereren"
"Save Account","Account opslaan"
"Save As...","Opslaan als.."
"Save Cache Settings","Cache-instellingen opslaan"
"Save Config","Configuratie opslaan"
"Save Currency Rates","Wisselkoersen opslaan"
"Save PEAR Config","PEAR configuratie opslaan"
"Save Profile","Profiel opslaan"
"Save Role","Rol opslaan"
"Save Template","Sjabloon opslaan"
"Save User","Gebruiker opslaan"
"Save and Continue Edit","Opslaan en verder bewerken"
"Save and Continue Editing","Opslaan en verder bewerken"
"Save data and Create Package","Gegevens opslaan en pakket aanmaken"
"Save package with custom package file name","Pakket opslaan met eigen naam"
"Search","Zoeken"
"Search Index","Zoekindex"
"Search Index was rebuilded successfully","De zoekindex is met succes hersteld"
"Search Term","Zoekterm"
"Search Terms","Zoektermen"
"Select","Selecteren"
"Select All","Alles selecteren"
"Select CSV Layout Format","Selecteer CSV export formaat"
"Select Category","Categorie selecteren"
"Select Date","Selecteer datum"
"Select Range","Selecteer bereik"
"Select Visible","Alle zichtbare selecteren"
"Select date","Datum selecteren"
"Selected allow currency ""%s"" is not available in installed currencies","Geselecteerde toegestane valuta ""%s"" is niet beschikbaar in de geïnstalleerde valuta"
"Selected allowed currency ""%s"" is not available in installed currencies.","De geselecteerde toegestane valuta ""%s"" is niet beschikbaar in de lijst met geïnstalleerde valuta."
"Selected base currency is not available in installed currencies","Geselecteerde basis-valuta is niet beschikbaar in de geïnstalleerde valuta"
"Selected base currency is not available in installed currencies.","Geselecteerde basis-valuta is niet beschikbaar in de geïnstalleerde valuta"
"Selected default display currency is not available in allowed currencies","Geselecteerde standaard-weergavevaluta is niet beschikbaar in de toegestane valuta"
"Selected default display currency is not available in allowed currencies.","Geselecteerde basis-valuta is niet beschikbaar in de geïnstalleerde valuta"
"Selected default display currency is not available in installed currencies","Geselecteerde standaard-weergavevaluta is niet beschikbaar in de geïnstalleerde valuta"
"Selected default display currency is not available in installed currencies.","Geselecteerde basis-valuta is niet beschikbaar in de geïnstalleerde valuta"
"Self-assigned roles cannot be deleted.","Zelf toegeschreven rollen kunnen niet worden verwijderd."
"Send Order Status","Orderstatus"
"Sender","Afzender"
"Separate Email","Afzonderlijke e-mail"
"Shipment #%s comment added","Notitie toegevoegd aan verzendnummer %s"
"Shipment #%s created","Verzendnummer %s aangemaakt"
"Shipment Comments","Notities verzending"
"Shipment History","Levering Geschiedenis"
"Shipment was successfully created.","Verzending is met succes aangemaakt."
"Shipment was successfully sent.","Verzending is met succes verstuurd."
"Shipments","Zendingen"
"Shipping","Verzending"
"Shipping Address","Afleveradres"
"Shipping Address:","Afleveradres:"
"Shipping Origin","Plaats van verzending"
"Shipping Price","Verzendkosten"
"Shipping address selection is not applicable","Keuze van afleveradres is niet toepasbaar"
"Shipping method must be specified","Verzendmethode moet worden aangegeven"
"Shipping method must be specified.","Verzendmethode moet worden aangegeven"
"Shipping method selection is not applicable","Gekozen verzendmethode is niet toepasbaar"
"Shopping Cart","Winkelwagen"
"Shopping Cart Price Rules","Winkelwagen prijsregels"
"Shopping Cart from %s","Winkelwagen van %s"
"Show By","Tonen op"
"Show Report For","Rapport tonen voor"
"Show Reviews","Beoordelingen tonen"
"Sitemap Information","Sitemap-informatie"
"Size for %s","Grootte voor %s"
"Skip Category Selection","Categorieselectie overslaan"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Sommige bestelde producten hebben afwijkende factuur- en verzendgegevens. U kunt pas een zending aanmaken nadat u hebt gefactureerd."
"Some of the ordered items do not exist in the catalog anymore and will be removed if you try to edit the order.","Sommige bestelde producten hebben afwijkende factuur- en verzendgegevens. U kunt pas een zending aanmaken nadat u hebt gefactureerd."
"Some of the ordered items don't exist in the catalog anymore and will be removed if you try to edit the order.","Sommige bestelde producten staan niet meer in de catalogus en zullen worden verwijderd als u probeert uw bestelling aan te passen."
"Sorry, this feature is coming soon...","Sorry, deze functie komt spoedig..."
"Sort Order","Sorteervolgorde"
"Specific Countries","Bepaalde landen"
"Specified","Gespecificeerd"
"Specified profile does not exist.","Specifiek profiel bestaat niet."
"Spreadsheet Name:","Spreadsheetnaam:"
"Stability","Stabiliteit"
"Start Date","Begindatum"
"Start/Reset Validation...","Start / Reset validatie"
"Starting profile execution, please wait...","Begin uitvoeren van profiel, wacht a.u.b..."
"State/Province:","Provincie:"
"Static Blocks","Statische blokken"
"Status","Status"
"Status:","Status"
"Stock Quantity:","Voorraadhoeveelheid:"
"Stock notification was saved successfully","Voorraadbericht is met succes opgeslagen"
"Stock notification was saved.","Voorraadbericht is met succes opgeslagen"
"Store","Winkel"
"Store Email Addresses Section","Sectie E-mailadressen van winkel"
"Store View","Winkelzicht"
"Store:","Winkel:"
"Stores","Winkels"
"Subject","Onderwerp"
"Submit","Verstuur"
"Subpackage","Subpakket"
"Subpackage can't be conflicting","Subpakket mag niet conflicteren"
"Subpackage cannot be conflicting.","Subpakket mag niet conflicteren"
"Subpackages","Subpakketten"
"Subtotal","Subtotaal"
"Subtotal Amount","Bedrag subtotaal"
"Summary","Samenvatting"
"Summary:","Samenvatting:"
"Switch/Solo Only","Alleen Switch/Solo"
"Switch/Solo card issue number: %s","Switch/Solo card nummer: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo kaart begindatum: %s/%s"
"Switch/Solo/Maestro Only","Alleen Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Enkel Switch/Solo/Maestro(UK binnenland)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro (UK binnenland) kaartnummer: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro (UK binnenland) kaart begindatum: %s/%s"
"Synchronization is required.","Synchronisatie is vereist"
"Synchronize","Synchroniseer"
"System","Systeem"
"System Section","Sectie Systeem"
"Tag was successfully deleted","Tag is met succes verwijderd"
"Tag was successfully saved","Tag is met succes verwijderd"
"Tags","Labels"
"Target","Doel"
"Target Path","Doelpad"
"Tax","BTW"
"Tb","Tb"
"Template","Sjabloon"
"Template Content","Sjabloon inhoud"
"Template Information","Sjabloon informatie"
"Template Name","Sjabloon naam"
"Template Styles","Sjabloonstijlen"
"Template Subject","Sjabloon onderwerp"
"Template Type","Sjabloon soort"
"Temporary (302)","Tijdelijk (302)"
"Terms and Conditions","Algemene Voorwaarden"
"Text","Tekst"
