"%s","%s"
"%s already exists","%s existe déjà"
"%s already exists.","%s existe déjà."
"-- Please Select --","-- Faites un choix --"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Attention !</strong> Lors de l'utilisation des codes de magasin dans les URLs, le système peut ne pas fonctionner correctement dans certains cas si des URLs sans code sont spécifiées dans des services tiers (par ex. PayPal). "
"After selecting a new media storage location, press the Synchronize button\n                                to transfer all media to that location. Media will not be available in the new\n                                location until the synchronization process is complete.","Après avoir sélectionné un emplacement de stockage des nouveaux médias, appuyez sur le bouton Synchroniser\n"
"                                pour transférer tous les médias à cet emplacement. Les médias ne seront pas disponibles dans le nouvel\n"
"                                emplacement jusqu'à ce que le process de synchronisation soit terminé."
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Types de fichiers autorisés : ICO, PNG, GIF, JPEG, APNG, SVG. Attention, certains formats ne sont pas supportés par certains navigateurs."
"Base Secure URL","URL de base sécurisée"
"Base Unsecure URL","URL de base non sécurisée"
"Cookie Restriction Mode","Mode de restriction de cookie"
"Core","Noyau"
"Country","Pays"
"Custom1 Contact Email","Email du contact personnalisé 1"
"Custom1 Contact Name","Nom du contact personnalisé 1"
"Custom2 Contact Email","Email du contact personnalisé 2"
"Custom2 Contact Name","Nom du contact personnalisé 2"
"European Union Countries","Pays de l'Union Européenne"
"File not found","Fichier non trouvé"
"File with an extension ""%value%"" is protected and cannot be uploaded","Le fichier avec l'extension ""%value%"" est protégé et ne peut pas être uploadé"
"General Contact Email","Email du contact général"
"General Contact Name","Nom du contact général"
"Get info about current Magento installation","Récupérer des informations sur l'installation Magento"
"HTML tags are not allowed","Les balises HTML ne sont pas autorisées"
"Invalid URL '%value%'.","URL invalide : '%value%'."
"List of stores","Liste des magasins"
"Logo Image","Image du logo"
"Magento info","Informations sur Magento"
"Magento info API","API d'informations sur Magento"
"PHP SOAP extension is required.","L'extension SOAP de PHP est requise."
"Requested file may not include parent directory traversal (""../"", ""..\"" notation)","Le fichier demandé ne doit pas utiliser de chemin relatif (notation avec ""../"" ou ""..\"")"
"Please enter a number 1 or greater in this field.","Veuillez saisir un nombre supérieur ou égal à 1."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Veuillez saisir une URL valide. Par exemple ""page-exemple"", ""page-exemple.html"" ou ""niveau/page-exemple""."
"Please select a file","Sélectionnez un fichier"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Utilisez uniquement des lettres (a-z ou A-Z), des chiffres (0-9) ou des underscores (_) dans ce champ. Le premier caractère doit être une lettre."
"Recovery Link Expiration Period (days)","Durée avant expiration d'un lien de récupération (en jours)"
"Retrieve info about current Magento installation","Récupérer des informations sur l'installation Magento"
"Retrieve store data","Récupérer les données du magasin"
"Retrieve store list","Récupérer la liste des magasins"
"Sales Representative Contact Email","Email du contact représentant des ventes"
"Sales Representative Contact Name","Nom du contact représentant des ventes"
"Store API","API des magasins"
"Transactional Emails","Emails transactionnels"
"VAT Number","Numéro de TVA"
