"-OR-","-OU-"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Allowable values: ""paypal"","sValeurs acceptées : ""paypal"", ""primary"" (par défaut), votre_valeur_personnalisée (page de paiement personnalisée pour votre profil de compte marchand)"
"Authorization Honor Period (days)","Période d'autorisation d'honneur (jours)"
"Authorized amount of %s.","Montant autorisé de %s."
"Authorizing amount of %s is pending approval on gateway.","Saisir le montant de %s est en attente d'approbation sur la passerelle."
"Buyer's Tax ID","ID de taxe de l'acheteur"
"Buyer's Tax ID Type","Type d'ID de taxe de l'acheteur"
"CNPJ","CNPJ"
"CPF","CPF"
"Centinel Custom API URL","URL personnalisée de l'API de Centinel"
"Integral Evolution","Évolution intégrale"
"Integral Evolution Settings","Paramètres de Évolution intégrale"
"Number of Child Authorizations","Nombre d'autorisations enfants"
"Order Valid Period (days)","Période de validité d'une commande (jours)"
"Ordered amount of %s.","Montant commandé de %s"
"Ordering amount of %s is pending approval on gateway.","La capture d'un montant de %s est en attente d'approbation sur la passerelle."
"Pasarela integral","Pasarela integral"
"Pasarela integral Settings","Paramètres de Pasarela integral"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","Paramètres de PayPal Pro"
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Indiquez quelle est la période d'autorisation d'honneur sur ​​le compte PayPal du marchand. Il doit refléter le paramétrage dans PayPal."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Indiquez quelle est la période de validité de commande sur ​​le compte PayPal du marchand. Il doit refléter le paramétrage dans PayPal."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Le nombre par défaut d'autorisations enfants dans votre compte Paypal est de 1. Veuillez contacter PayPal pour demander une augmentation."
"The maximum number of child authorizations is reached.","Le nombre maximum d'autorisations enfants est atteint."
"Website Payments Plus","Website Payments Plus"
"Website Payments Plus Settings","Paramètres de Website Payments Plus"
"Website Payments Pro Hosted Solution","Solution hébergée Website Payments Pro"
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","Pour utiliser Payflow Link, vous devez configurer votre compte Payflow Link sur le site de PayPal."
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Une fois connecté dans votre compte Payflow Link, allez dans le menu Paramétrages du service - Pages de commande hébergées - Configuration et renseignez les options décrites ci-dessous"
"Required settings","Paramètres obligatoires"
"On my website","Sur mon site web"
"Use Silent Post:","Utiliser la soumission silencieuce (Silent Post) :"
"Silent Post URL:","URL de soumission silencieuse (Silent Post) :"
"Enable Secure Token:","Éditer le jeton de sécurité :"
"Note:","Remarque :"
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","Dans le bloc d'informations de facturation et de livraison de votre compte Payflow, ne rendez éditable aucun champ."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","Ne pas activer les options AVS ou CSC. Ces options ne fonctionnent pas en mode Payflow Link Silent."
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","Si votre instance Magento est utilisée pour plusieurs sites web, vous devez configurer un compte Payflow Link pour chaque site web."
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","Assurez-vous d'avoir configuré le design pour le formulaire Payflow Link dans votre compte Payflow Link."
"Add New","Ajouter"
"Back","Retour"
"of %s pages","sur %s pages"
"Total %d records found","%d enregistrement(s) trouvé(s)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal.","Accepter les paiements avec un passage de commande conforme à la norme PCI et avec lequel les clients restent sur votre site. Ça inclut un compte commerçant de PayPal."
"Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account.","Accepter les paiements avec un passage de commande conforme à la norme PCI et avec lequel les clients restent sur votre site. À utiliser avec votre propre compte commerçant."
"Address","Adresse"
"City","Ville"
"Click here if you are not redirected within 10 seconds...","Cliquez ici si vous n'êtes pas redirigé dans les 10 secondes..."
"Company","Société"
"Country","Pays"
"Customer Information","Informations client"
"Display Express Checkout in the Payment Information step","Afficher le paiement Express dans l'étape des informations de paiement"
"Email Address","Adresse mail"
"Fax","Fax"
"For Virtual Quotes Only","Pour les commandes virtuelles uniquement"
"PayPal Payments Advanced","Paiements PayPal avancé"
"Payment transactions disallow storing objects.","Les transactions de paiement rejettent de stocker des objets."
"Please select region, state or province","Sélectionnez un département / état"
"Please update order data to get shipping methods and rates","Veuillez mettre à jour les données de commande pour obtenir les modes et tarifs de livraison"
"Require Customer's Billing Address","Nécessite l'adresse de facturation du client"
"Same as shipping","Identique à la livraison"
"Server Error. Please try again.","Erreur de serveur. Veuillez réessayer."
"State/Province","État/Région"
"Street Address","Adresse"
"Street Address %s","Rue - Voie – Bât. %s"
"Telephone","Téléphone"
"This feature needs be enabled first for the merchant account through PayPal technical support.","Cette fonctionnalité doit d'abord être activée pour le compte commerçant via le support technique de PayPal."
"This operation requires an existing transaction object.","Cette opération nécessite l'existance d'une transaction."
"Transaction ID must not be empty.","ID Transaction ne doit pas être vide."
"Unable to update Order data.","Impossible de mettre à jour les données de commande."
"Unknown Error. Please try again later.","Erreur inconnue. Veuillez réessayer plus tard."
"Update Order Data","Mettre à jour les données de commande"
"VAT Number","Numéro de TVA"
"Vendor / Merchant Login","Identifiant de vendeur / commerçant"
"You cannot void a verification transaction","Vous ne pouvez pas annuler une transaction de vérification"
"Zip/Postal Code","Code postal"
